,DN,FN,FM,FC
DN,0.0, 0.5, 0.0, 0.0
FN,0.5, 0.5, 0.5, 0.5
FM,0.0, 0.5, 0.5, 0.5
FC,0.0, 0.5, 0.5, 0.5
